 41.29	20360	20360	U	0	unclassified
 58.71	28952	0	R	1	root
 58.71	28952	0	R1	131567	  cellular organisms
 58.71	28952	723	D	2	    Bacteria
 47.12	23235	121	K	3379134	      Pseudomonadati
 44.43	21907	336	P	1224	        Pseudomonadota
 24.39	12028	92	C	1236	          Gammaproteobacteria
 22.50	11093	0	O	135623	            Vibrionales
 22.50	11093	5	F	641	              Vibrionaceae
 22.42	11058	1136	G	662	                Vibrio
  7.48	3687	3275	S	672	                  Vibrio vulnificus
  0.66	325	325	S1	1246305	                    Vibrio vulnificus Env1
  0.13	66	66	S1	196600	                    Vibrio vulnificus YJ016
  0.02	12	12	S1	914127	                    Vibrio vulnificus MO6-24/O
  0.02	9	9	S1	748003	                    Vibrio vulnificus VVyb1(BT3)
  6.14	3029	3029	S	1763883	                  Vibrio cidicii
  2.90	1431	120	G1	717610	                  Vibrio harveyi group
  1.80	886	121	G2	2315253	                    Vibrio diabolicus subgroup
  1.47	727	727	S	50719	                      Vibrio diabolicus
  0.08	38	38	S	150340	                      Vibrio antiquarius
  0.45	221	215	S	670	                    Vibrio parahaemolyticus
  0.01	3	0	S1	1338031	                      Vibrio parahaemolyticus O1:K33
  0.01	3	3	S2	1338032	                        Vibrio parahaemolyticus O1:K33 str. CDC_K4557
  0.00	2	0	S1	1338033	                      Vibrio parahaemolyticus O1:Kuk
  0.00	2	2	S2	1338034	                        Vibrio parahaemolyticus O1:Kuk str. FDA_R31
  0.00	1	1	S1	1211705	                      Vibrio parahaemolyticus BB22OP
  0.20	101	101	S	663	                    Vibrio alginolyticus
  0.08	38	38	S	669	                    Vibrio harveyi
  0.04	20	15	S	680	                    Vibrio campbellii
  0.01	5	5	S1	2902295	                      Vibrio campbellii ATCC BAA-1116
  0.04	20	20	S	696485	                    Vibrio owensii
  0.03	15	15	S	691	                    Vibrio natriegens
  0.01	5	5	S	50718	                    Vibrio mytili
  0.01	4	4	S	190895	                    Vibrio rotiferianus
  0.00	1	1	S	512649	                    Vibrio azureus
  1.78	880	880	S	29495	                  Vibrio navarrensis
  1.33	654	99	G1	2614977	                  unclassified Vibrio
  0.46	229	229	S	391586	                    Vibrio sp. 16
  0.40	199	199	S	3470823	                    Vibrio sp. NH-7
  0.08	37	37	S	1298600	                    Vibrio sp. JCM 18905
  0.05	24	24	S	2822845	                    Vibrio sp. SCSIO 43086
  0.04	19	19	S	3374281	                    Vibrio sp. D3
  0.02	11	11	S	2976237	                    Vibrio sp. STUT-A16
  0.01	5	5	S	2883075	                    Vibrio sp. LQ2
  0.01	5	5	S	2751178	                    Vibrio sp. B1FLJ16
  0.01	3	3	S	3466932	                    Vibrio sp. GJ43-1
  0.01	3	3	S	2751177	                    Vibrio sp. B1FIG11
  0.00	2	2	S	1116375	                    Vibrio sp. EJY3
  0.00	2	2	S	3391828	                    Vibrio sp. MA40-2
  0.00	2	2	S	3092155	                    Vibrio sp. GJ41-3
