 35.64	16848	16848	U	0	unclassified
 64.36	30429	0	R	1	root
 64.36	30429	0	R1	131567	  cellular organisms
 64.36	30429	527	D	2	    Bacteria
 46.35	21914	101	K	3379134	      Pseudomonadati
 43.92	20766	300	P	1224	        Pseudomonadota
 24.62	11640	84	C	1236	          Gammaproteobacteria
 22.16	10476	0	O	135623	            Vibrionales
 22.16	10476	11	F	641	              Vibrionaceae
 22.09	10445	1632	G	662	                Vibrio
  7.06	3337	3337	S	1763883	                  Vibrio cidicii
  4.90	2317	159	G1	717610	                  Vibrio harveyi group
  3.29	1557	201	G2	2315253	                    Vibrio diabolicus subgroup
  2.72	1285	1285	S	50719	                      Vibrio diabolicus
  0.15	71	71	S	150340	                      Vibrio antiquarius
  0.69	328	320	S	670	                    Vibrio parahaemolyticus
  0.01	3	3	S1	1429044	                      Vibrio parahaemolyticus UCM-V493
  0.00	2	2	S1	1211705	                      Vibrio parahaemolyticus BB22OP
  0.00	2	0	S1	1338031	                      Vibrio parahaemolyticus O1:K33
  0.00	2	2	S2	1338032	                        Vibrio parahaemolyticus O1:K33 str. CDC_K4557
  0.00	1	0	S1	1338033	                      Vibrio parahaemolyticus O1:Kuk
  0.00	1	1	S2	1338034	                        Vibrio parahaemolyticus O1:Kuk str. FDA_R31
  0.34	160	160	S	663	                    Vibrio alginolyticus
  0.08	40	40	S	669	                    Vibrio harveyi
  0.06	30	26	S	680	                    Vibrio campbellii
  0.01	4	4	S1	2902295	                      Vibrio campbellii ATCC BAA-1116
  0.03	16	16	S	691	                    Vibrio natriegens
  0.02	10	10	S	696485	                    Vibrio owensii
  0.02	9	9	S	190895	                    Vibrio rotiferianus
  0.01	5	5	S	50718	                    Vibrio mytili
  0.01	3	3	S	512649	                    Vibrio azureus
  3.79	1792	1627	S	672	                  Vibrio vulnificus
  0.21	100	100	S1	1246305	                    Vibrio vulnificus Env1
  0.09	43	43	S1	196600	                    Vibrio vulnificus YJ016
  0.02	11	11	S1	748003	                    Vibrio vulnificus VVyb1(BT3)
  0.02	11	11	S1	914127	                    Vibrio vulnificus MO6-24/O
  1.83	867	867	S	29495	                  Vibrio navarrensis
  0.55	262	33	G1	2614977	                  unclassified Vibrio
  0.12	59	59	S	1298600	                    Vibrio sp. JCM 18905
  0.11	54	54	S	2822845	                    Vibrio sp. SCSIO 43086
  0.10	45	45	S	3374281	                    Vibrio sp. D3
  0.06	30	30	S	2976237	                    Vibrio sp. STUT-A16
  0.01	6	6	S	2883075	                    Vibrio sp. LQ2
  0.01	5	5	S	2751178	                    Vibrio sp. B1FLJ16
  0.01	3	3	S	1116375	                    Vibrio sp. EJY3
  0.01	3	3	S	3466932	                    Vibrio sp. GJ43-1
  0.01	3	3	S	2751177	                    Vibrio sp. B1FIG11
  0.00	2	2	S	2819103	                    Vibrio sp. SCSIO 43009
  0.00	2	2	S	2976236	                    Vibrio sp. STUT-A11
  0.00	2	2	S	2819104	                    Vibrio sp. SCSIO 43097
  0.00	2	2	S	391586	                    Vibrio sp. 16
  0.00	2	2	S	2751179	                    Vibrio sp. B1REV9
  0.00	1	1	S	2912315	                    Vibrio sp. DW001
  0.00	1	1	S	3470823	                    Vibrio sp. NH-7
  0.00	1	1	S	3437381	                    Vibrio sp. Vf1514
  0.00	1	1	S	3092155	                    Vibrio sp. GJ41-3
  0.00	1	1	S	3042300	                    Vibrio sp. YMD68
  0.00	1	1	S	2937888	                    Vibrio sp. AK197
  0.00	1	1	S	2751176	                    Vibrio sp. B1ASS3
  0.00	1	1	S	2908646	                    Vibrio sp. SS-MA-C1-2
  0.00	1	1	S	2817385	                    Vibrio sp. ABG19
  0.00	1	1	S	2785746	                    Vibrio sp. VB16
  0.00	1	1	S	2766781	                    Vibrio sp. sp1
  0.07	35	35	S	676	                  Vibrio fluvialis
  0.07	33	33	S	666	                  Vibrio cholerae
  0.06	30	30	S	671	                  Vibrio proteolyticus
  0.05	23	23	S	55601	                  Vibrio anguillarum
  0.03	14	14	S	2711221	                  Vibrio ziniensis
  0.03	12	12	S	1481663	                  Vibrio metoecus
  0.02	8	8	S	28172	                  Vibrio metschnikovii
  0.01	7	7	S	675	                  Vibrio cincinnatiensis
  0.01	6	0	G1	87806	                  environmental samples
  0.01	6	6	S	114054	                    uncultured Vibrio sp.
  0.01	5	5	S	28171	                  Vibrio aestuarianus
  0.01	4	0	G1	1891919	                  Vibrio oreintalis group
  0.01	4	4	S	379097	                    Vibrio sinaloensis
  0.01	4	4	S	2946865	                  Vibrio sinus
  0.01	4	4	S	45658	                  Vibrio scophthalmi
  0.01	4	4	S	29494	                  Vibrio furnissii
  0.01	3	3	S	47951	                  Vibrio cyclitrophicus
  0.01	3	3	S	674	                  Vibrio mimicus
  0.01	3	3	S	2014742	                  Vibrio tarriae
  0.01	3	3	S	1534743	                  Vibrio hyugaensis
  0.00	2	2	S	2077090	                  Vibrio gangliei
  0.00	2	2	S	553239	                  Vibrio breoganii
  0.00	2	2	S	1074311	                  Vibrio alfacsensis
  0.00	2	2	S	28169	                  Vibrio pelagius
  0.00	2	2	S	136468	                  Vibrio lentus
  0.00	2	2	S	28173	                  Vibrio nigripulchritudo
  0.00	2	2	S	687	                  Vibrio gazogenes
  0.00	2	2	S	76258	                  Vibrio rumoiensis
  0.00	2	2	S	170673	                  Vibrio kanaloae
  0.00	1	1	S	2587862	                  Vibrio aquimaris
  0.00	1	1	S	689	                  Vibrio mediterranei
  0.00	1	1	S	1117707	                  Vibrio quintilis
  0.00	1	1	S	29497	                  Vibrio splendidus
  0.00	1	1	S	552386	                  Vibrio gallaecicus
  0.00	1	1	S	3098914	                  Vibrio iocasae
  0.00	1	1	S	446374	                  Vibrio artabrorum
  0.00	1	1	S	1194427	                  Vibrio toranzoniae
  0.00	1	1	S	2479546	                  Vibrio zhugei
  0.00	1	1	S	413403	                  Vibrio rarus
  0.00	1	1	S	2572923	                  Vibrio taketomensis
  0.00	1	1	S	62763	                  Vibrio pectenicida
  0.00	1	1	S	265668	                  Vibrio ponticus
  0.00	1	1	S	2777577	                  Vibrio bathopelagicus
  0.00	1	1	S	212667	                  Vibrio fortis
  0.00	1	1	S	2829489	                  Vibrio paucivorans
  0.00	1	1	S	1824638	                  Vibrio japonicus
  0.00	1	1	S	190893	                  Vibrio coralliilyticus
  0.00	1	1	S	184755	                  Vibrio ruber
  0.04	17	0	G	657	                Photobacterium
  0.02	11	10	S	38293	                  Photobacterium damselae
  0.00	1	1	S1	85581	                    Photobacterium damselae subsp. damselae
