reference_id	reference_fasta	reference_format	notes
mullis2019_18022	reference/expanded_vv/genomes/GCF_004215355.1_ASM421535v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18022; WGS RCGD00000000; Assembly GCF_004215355.1; Source: AransasBay,2007.
mullis2019_18023	reference/expanded_vv/genomes/GCF_004215325.1_ASM421532v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18023; WGS RCGC00000000; Assembly GCF_004215325.1; Source: BirdIsland,2007.
mullis2019_18024	reference/expanded_vv/genomes/GCF_004215335.1_ASM421533v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18024; WGS RCGB00000000; Assembly GCF_004215335.1; Source: Bayside,2007.
mullis2019_18025	reference/expanded_vv/genomes/GCF_004215315.1_ASM421531v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18025; WGS RCGA00000000; Assembly GCF_004215315.1; Source: Bayside,2007.
mullis2019_18026	reference/expanded_vv/genomes/GCF_004215295.1_ASM421529v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18026; WGS RCFZ00000000; Assembly GCF_004215295.1; Source: Bayside,2007.
mullis2019_18027	reference/expanded_vv/genomes/GCF_004215225.1_ASM421522v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18027; WGS RCFY00000000; Assembly GCF_004215225.1; Source: Bayside,2007.
mullis2019_18028	reference/expanded_vv/genomes/GCF_004215255.1_ASM421525v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18028; WGS RCFX00000000; Assembly GCF_004215255.1; Source: Bayside,2007.
mullis2019_18029	reference/expanded_vv/genomes/GCF_004215235.1_ASM421523v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18029; WGS RCFW00000000; Assembly GCF_004215235.1; Source: Bayside,2007.
mullis2019_18030	reference/expanded_vv/genomes/GCF_004215215.1_ASM421521v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18030; WGS RCFV00000000; Assembly GCF_004215215.1; Source: Bayside,2007.
mullis2019_18031	reference/expanded_vv/genomes/GCF_004215195.1_ASM421519v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18031; WGS RCFU00000000; Assembly GCF_004215195.1; Source: Bayside,2007.
mullis2019_18032	reference/expanded_vv/genomes/GCF_004215155.1_ASM421515v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18032; WGS RCFT00000000; Assembly GCF_004215155.1; Source: Bayside,2007.
mullis2019_18033	reference/expanded_vv/genomes/GCF_004214675.1_ASM421467v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18033; WGS RBZB00000000; Assembly GCF_004214675.1; Source: Bayside,2006.
mullis2019_18034	reference/expanded_vv/genomes/GCF_004214575.1_ASM421457v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18034; WGS RBZD00000000; Assembly GCF_004214575.1; Source: Bayside,2006.
mullis2019_18035	reference/expanded_vv/genomes/GCF_004214665.1_ASM421466v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18035; WGS RBZH00000000; Assembly GCF_004214665.1; Source: Bayside,2006.
mullis2019_18036	reference/expanded_vv/genomes/GCF_004214655.1_ASM421465v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18036; WGS RBZG00000000; Assembly GCF_004214655.1; Source: Bayside,2006.
mullis2019_18037	reference/expanded_vv/genomes/GCF_004214595.1_ASM421459v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18037; WGS RBZF00000000; Assembly GCF_004214595.1; Source: CopanoBay,2007.
mullis2019_18038	reference/expanded_vv/genomes/GCF_004214625.1_ASM421462v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18038; WGS RBZE00000000; Assembly GCF_004214625.1; Source: CopanoBay,2007.
mullis2019_18039	reference/expanded_vv/genomes/GCF_004214755.1_ASM421475v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18039; WGS RBZJ00000000; Assembly GCF_004214755.1; Source: CopanoBay,2007.
mullis2019_18040	reference/expanded_vv/genomes/GCF_004214695.1_ASM421469v1_genomic.fna.gz	mullis2019_draft_genome	Mullis et al. 2019 isolate 18040; WGS RBZK00000000; Assembly GCF_004214695.1; Source: CopanoBay,2007.
