isolate	wgs_accession	assembly_accession	ftp_url	local_filename	provenance	notes
18022	RCGD00000000	GCF_004215355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/355/GCF_004215355.1_ASM421535v1/GCF_004215355.1_ASM421535v1_genomic.fna.gz	GCF_004215355.1_ASM421535v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: AransasBay,2007
18023	RCGC00000000	GCF_004215325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/325/GCF_004215325.1_ASM421532v1/GCF_004215325.1_ASM421532v1_genomic.fna.gz	GCF_004215325.1_ASM421532v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: BirdIsland,2007
18024	RCGB00000000	GCF_004215335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/335/GCF_004215335.1_ASM421533v1/GCF_004215335.1_ASM421533v1_genomic.fna.gz	GCF_004215335.1_ASM421533v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18025	RCGA00000000	GCF_004215315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/315/GCF_004215315.1_ASM421531v1/GCF_004215315.1_ASM421531v1_genomic.fna.gz	GCF_004215315.1_ASM421531v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18026	RCFZ00000000	GCF_004215295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/295/GCF_004215295.1_ASM421529v1/GCF_004215295.1_ASM421529v1_genomic.fna.gz	GCF_004215295.1_ASM421529v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18027	RCFY00000000	GCF_004215225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/225/GCF_004215225.1_ASM421522v1/GCF_004215225.1_ASM421522v1_genomic.fna.gz	GCF_004215225.1_ASM421522v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18028	RCFX00000000	GCF_004215255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/255/GCF_004215255.1_ASM421525v1/GCF_004215255.1_ASM421525v1_genomic.fna.gz	GCF_004215255.1_ASM421525v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18029	RCFW00000000	GCF_004215235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/235/GCF_004215235.1_ASM421523v1/GCF_004215235.1_ASM421523v1_genomic.fna.gz	GCF_004215235.1_ASM421523v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18030	RCFV00000000	GCF_004215215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/215/GCF_004215215.1_ASM421521v1/GCF_004215215.1_ASM421521v1_genomic.fna.gz	GCF_004215215.1_ASM421521v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18031	RCFU00000000	GCF_004215195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/195/GCF_004215195.1_ASM421519v1/GCF_004215195.1_ASM421519v1_genomic.fna.gz	GCF_004215195.1_ASM421519v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18032	RCFT00000000	GCF_004215155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/155/GCF_004215155.1_ASM421515v1/GCF_004215155.1_ASM421515v1_genomic.fna.gz	GCF_004215155.1_ASM421515v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2007
18033	RBZB00000000	GCF_004214675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/675/GCF_004214675.1_ASM421467v1/GCF_004214675.1_ASM421467v1_genomic.fna.gz	GCF_004214675.1_ASM421467v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2006
18034	RBZD00000000	GCF_004214575.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/575/GCF_004214575.1_ASM421457v1/GCF_004214575.1_ASM421457v1_genomic.fna.gz	GCF_004214575.1_ASM421457v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2006
18035	RBZH00000000	GCF_004214665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/665/GCF_004214665.1_ASM421466v1/GCF_004214665.1_ASM421466v1_genomic.fna.gz	GCF_004214665.1_ASM421466v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2006
18036	RBZG00000000	GCF_004214655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/655/GCF_004214655.1_ASM421465v1/GCF_004214655.1_ASM421465v1_genomic.fna.gz	GCF_004214655.1_ASM421465v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: Bayside,2006
18037	RBZF00000000	GCF_004214595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/595/GCF_004214595.1_ASM421459v1/GCF_004214595.1_ASM421459v1_genomic.fna.gz	GCF_004214595.1_ASM421459v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18038	RBZE00000000	GCF_004214625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/625/GCF_004214625.1_ASM421462v1/GCF_004214625.1_ASM421462v1_genomic.fna.gz	GCF_004214625.1_ASM421462v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18039	RBZJ00000000	GCF_004214755.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/755/GCF_004214755.1_ASM421475v1/GCF_004214755.1_ASM421475v1_genomic.fna.gz	GCF_004214755.1_ASM421475v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18040	RBZK00000000	GCF_004214695.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/695/GCF_004214695.1_ASM421469v1/GCF_004214695.1_ASM421469v1_genomic.fna.gz	GCF_004214695.1_ASM421469v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18041	RBZL00000000	GCF_004214765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/765/GCF_004214765.1_ASM421476v1/GCF_004214765.1_ASM421476v1_genomic.fna.gz	GCF_004214765.1_ASM421476v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18042	RBZC00000000	GCF_004214565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/565/GCF_004214565.1_ASM421456v1/GCF_004214565.1_ASM421456v1_genomic.fna.gz	GCF_004214565.1_ASM421456v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18043	RBZI00000000	GCF_004214715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/715/GCF_004214715.1_ASM421471v1/GCF_004214715.1_ASM421471v1_genomic.fna.gz	GCF_004214715.1_ASM421471v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18044	RPGM00000000	GCF_004214555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/555/GCF_004214555.1_ASM421455v1/GCF_004214555.1_ASM421455v1_genomic.fna.gz	GCF_004214555.1_ASM421455v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18045	RHHD00000000	GCF_004214465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/465/GCF_004214465.1_ASM421446v1/GCF_004214465.1_ASM421446v1_genomic.fna.gz	GCF_004214465.1_ASM421446v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18047	RHHE00000000	GCF_004214455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/455/GCF_004214455.1_ASM421445v1/GCF_004214455.1_ASM421445v1_genomic.fna.gz	GCF_004214455.1_ASM421445v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18048	RHHF00000000	GCF_004214525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/525/GCF_004214525.1_ASM421452v1/GCF_004214525.1_ASM421452v1_genomic.fna.gz	GCF_004214525.1_ASM421452v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18049	RHHG00000000	GCF_004214355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/355/GCF_004214355.1_ASM421435v1/GCF_004214355.1_ASM421435v1_genomic.fna.gz	GCF_004214355.1_ASM421435v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18050	RHHH00000000	GCF_004214385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/385/GCF_004214385.1_ASM421438v1/GCF_004214385.1_ASM421438v1_genomic.fna.gz	GCF_004214385.1_ASM421438v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18051	RHHI00000000	GCF_004214475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/475/GCF_004214475.1_ASM421447v1/GCF_004214475.1_ASM421447v1_genomic.fna.gz	GCF_004214475.1_ASM421447v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18052	RHHJ00000000	GCF_004214395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/395/GCF_004214395.1_ASM421439v1/GCF_004214395.1_ASM421439v1_genomic.fna.gz	GCF_004214395.1_ASM421439v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18053	RPGN00000000	GCF_004214375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/375/GCF_004214375.1_ASM421437v1/GCF_004214375.1_ASM421437v1_genomic.fna.gz	GCF_004214375.1_ASM421437v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18054	RHHK00000000	GCF_004214365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/365/GCF_004214365.1_ASM421436v1/GCF_004214365.1_ASM421436v1_genomic.fna.gz	GCF_004214365.1_ASM421436v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2006
18055	RHHL00000000	GCF_004214495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/495/GCF_004214495.1_ASM421449v1/GCF_004214495.1_ASM421449v1_genomic.fna.gz	GCF_004214495.1_ASM421449v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2006
18056	RBWJ00000000	GCF_004215005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/005/GCF_004215005.1_ASM421500v1/GCF_004215005.1_ASM421500v1_genomic.fna.gz	GCF_004215005.1_ASM421500v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: CopanoBay,2007
18057	RBWK00000000	GCF_004215045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/045/GCF_004215045.1_ASM421504v1/GCF_004215045.1_ASM421504v1_genomic.fna.gz	GCF_004215045.1_ASM421504v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: ColePark,2007
18058	RBWL00000000	GCF_004215035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/035/GCF_004215035.1_ASM421503v1/GCF_004215035.1_ASM421503v1_genomic.fna.gz	GCF_004215035.1_ASM421503v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: ColePark,2006
18059	RBWM00000000	GCF_004214995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/214/995/GCF_004214995.1_ASM421499v1/GCF_004214995.1_ASM421499v1_genomic.fna.gz	GCF_004214995.1_ASM421499v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: ColePark,2006
18060	RBWN00000000	GCF_004215015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/015/GCF_004215015.1_ASM421501v1/GCF_004215015.1_ASM421501v1_genomic.fna.gz	GCF_004215015.1_ASM421501v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: NuecesBay,2007
18061	RBWO00000000	GCF_004215095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/095/GCF_004215095.1_ASM421509v1/GCF_004215095.1_ASM421509v1_genomic.fna.gz	GCF_004215095.1_ASM421509v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: NuecesBay,2007
18062	RBWP00000000	GCF_004215105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/105/GCF_004215105.1_ASM421510v1/GCF_004215105.1_ASM421510v1_genomic.fna.gz	GCF_004215105.1_ASM421510v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: NuecesBay,2007
18063	RBWQ00000000	GCF_004215135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/135/GCF_004215135.1_ASM421513v1/GCF_004215135.1_ASM421513v1_genomic.fna.gz	GCF_004215135.1_ASM421513v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: RedfishBay,2007
18064	RBWR00000000	GCF_004215145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/215/145/GCF_004215145.1_ASM421514v1/GCF_004215145.1_ASM421514v1_genomic.fna.gz	GCF_004215145.1_ASM421514v1_genomic.fna.gz	Mullis et al. 2019 Table 1; NCBI Assembly BioProject PRJNA475262 E-utilities queried 2026-05-05	Source: RedfishBay,2006
