genome_id	genome_fasta	species	genome_type	is_unknown	notes
v_alginolyticus	reference/v_alginolyticus_ref.fasta	Vibrio alginolyticus	complete_two_chromosome	no	Vibrio alginolyticus NBRC 15630 = ATCC 17749; Assembly GCF_000354175.2 ASM35417v2; Complete Genome; chromosomes NC_022349.1 and NC_022359.1; existing local reference confirmed against NCBI Assembly 2026-08-14; indexed for BWA.
valginolyticus_e110	reference/v_alginolyticus_non_core/genomes/GCF_023650915.1_ASM2365091v1_genomic.fna.gz	Vibrio alginolyticus	complete_genome	no	Vibrio alginolyticus strain E110; Assembly GCF_023650915.1 ASM2365091v1; Complete Genome with chromosome and plasmid records; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
valginolyticus_v208	reference/v_alginolyticus_non_core/genomes/GCF_029023705.1_ASM2902370v1_genomic.fna.gz	Vibrio alginolyticus	complete_two_chromosome	no	Vibrio alginolyticus strain V208; Assembly GCF_029023705.1 ASM2902370v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
valginolyticus_zj_0	reference/v_alginolyticus_non_core/genomes/GCF_047497145.1_ASM4749714v1_genomic.fna.gz	Vibrio alginolyticus	complete_two_chromosome	no	Vibrio alginolyticus strain ZJ-0; Assembly GCF_047497145.1 ASM4749714v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14; strain confirmed from FASTA headers.
valginolyticus_hlbs_07	reference/v_alginolyticus_non_core/genomes/GCF_023169625.1_ASM2316962v1_genomic.fna.gz	Vibrio alginolyticus	complete_two_chromosome	no	Vibrio alginolyticus strain HLBS-07; Assembly GCF_023169625.1 ASM2316962v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vdiabolicus_fa3	reference/v_diabolicus_non_core/genomes/GCF_011801455.1_ASM1180145v1_genomic.fna.gz	Vibrio diabolicus	complete_two_chromosome	no	Vibrio diabolicus strain FA3; Assembly GCF_011801455.1 ASM1180145v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vdiabolicus_fdaargos_105	reference/v_diabolicus_non_core/genomes/GCF_002953395.1_ASM295339v1_genomic.fna.gz	Vibrio diabolicus	complete_two_chromosome	no	Vibrio diabolicus strain FDAARGOS_105; Assembly GCF_002953395.1 ASM295339v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vdiabolicus_zf102	reference/v_diabolicus_non_core/genomes/GCF_054111865.1_ASM5411186v1_genomic.fna.gz	Vibrio diabolicus	complete_genome	no	Vibrio diabolicus strain ZF102; Assembly GCF_054111865.1 ASM5411186v1; Complete Genome with chromosome and plasmid records; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vdiabolicus_mzt14	reference/v_diabolicus_non_core/genomes/GCF_056531025.1_ASM5653102v1_genomic.fna.gz	Vibrio diabolicus	complete_two_chromosome	no	Vibrio diabolicus strain MZT14; Assembly GCF_056531025.1 ASM5653102v1; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vdiabolicus_3098	reference/v_diabolicus_non_core/genomes/GCF_040969975.1_ASM4096997v1_genomic.fna.gz	Vibrio diabolicus	complete_genome	no	Vibrio diabolicus strain 3098; Assembly GCF_040969975.1 ASM4096997v1; Complete Genome with chromosome and plasmid records; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14; strain confirmed from FASTA headers.
vostreicida_cect_7398	reference/v_ostreicida_non_core/genomes/GCF_030409575.1_ASM3040957v1_genomic.fna.gz	Vibrio ostreicida	contig_assembly	no	Vibrio ostreicida strain CECT 7398; Assembly GCF_030409575.1 ASM3040957v1; Contig assembly; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
vostreicida_ucd_kl16	reference/v_ostreicida_non_core/genomes/GCF_001957165.1_ASM195716v1_genomic.fna.gz	Vibrio ostreicida	contig_assembly	no	Vibrio ostreicida strain UCD-KL16; Assembly GCF_001957165.1 ASM195716v1; Contig assembly; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	Vibrio ostreicida	draft_multicontig_wgs	no	Vibrio ostreicida strain PP-203; draft multi-contig WGS reference; indexed for BWA.
v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	Vibrio ostreicida	draft_multicontig_wgs	no	Vibrio ostreicida strain r172; draft multi-contig WGS reference; indexed for BWA.
v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	Vibrio parahaemolyticus	complete_two_chromosome	no	Vibrio parahaemolyticus RIMD 2210633; Assembly GCF_000196095.1 ASM19609v1; Complete Genome; chromosomes NC_004603.1 and NC_004605.1; existing local reference confirmed against NCBI Assembly 2026-08-14; indexed for BWA.
vpara_atcc_17802	reference/v_parahaemolyticus_non_core/genomes/GCF_001558495.2_ASM155849v2_genomic.fna.gz	Vibrio parahaemolyticus	complete_two_chromosome	no	Vibrio parahaemolyticus strain ATCC 17802; Assembly GCF_001558495.2 ASM155849v2; Complete Genome; RefSeq/GenBank identical; NCBI Assembly confirmed 2026-08-14.
