query_id	v_alginolyticus	valginolyticus_e110	valginolyticus_v208	valginolyticus_zj_0	valginolyticus_hlbs_07	vdiabolicus_fa3	vdiabolicus_fdaargos_105	vdiabolicus_zf102	vdiabolicus_mzt14	vdiabolicus_3098	vostreicida_cect_7398	vostreicida_ucd_kl16	v_ostreicida_PP203	v_ostreicida_r172	v_parahaemolyticus	vpara_atcc_17802	vpara_vp18	vpara_lvp2	vpara_2012aw_0154	v_vulnificus	vv_7356	vv_env1	vv_2142_77	vv_24_vb00699	vcidicii_2423_01	vcidicii_vc01	vcidicii_2020rz130	vcidicii_pnusav005519	vcidicii_2538_88	vnavarrensis_atcc_51183	vnavarrensis_20_vb00237	vnavarrensis_2462_79	vnavarrensis_08_2462	vnavarrensis_pnusav006652	mullis2019_18022	mullis2019_18023	mullis2019_18024	mullis2019_18025	mullis2019_18026	mullis2019_18027	mullis2019_18028	mullis2019_18029	mullis2019_18030	mullis2019_18031	mullis2019_18032	mullis2019_18033	mullis2019_18034	mullis2019_18035	mullis2019_18036	mullis2019_18037	mullis2019_18038	mullis2019_18039	mullis2019_18040	mullis2019_18041	mullis2019_18042	mullis2019_18043	mullis2019_18044	mullis2019_18045	mullis2019_18047	mullis2019_18048	mullis2019_18049	mullis2019_18050	mullis2019_18051	mullis2019_18052	mullis2019_18053	mullis2019_18054	mullis2019_18055	mullis2019_18056	mullis2019_18057	mullis2019_18058	mullis2019_18059	mullis2019_18060	mullis2019_18061	mullis2019_18062	mullis2019_18063	mullis2019_18064	Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7
v_alginolyticus	0.9977	0.9452	0.9329	0.9324	0.9417	0.8624	0.8770	0.8636	0.8566	0.8612	NA	NA	NA	NA	0.7277	0.7388	0.7370	0.7265	0.7306	0.3032	0.2915	0.3067	0.3102	0.3096	0.2741	0.2758	0.2601	0.2566	0.2636	0.2653	0.2688	0.2776	0.2717	0.2706	0.2962	0.3003	0.2910	0.3055	0.3073	0.3009	0.2985	0.2933	0.3026	0.3020	0.2962	0.3015	0.3026	0.2962	0.2945	0.2939	0.2898	0.3015	0.3055	0.2997	0.3044	0.2956	0.3085	0.2939	0.3015	0.3015	0.2974	0.3009	0.3020	0.2997	0.3160	0.3085	0.3026	0.3026	0.2991	0.2997	0.3020	0.3166	0.3120	0.3085	0.3003	0.3020	0.2816	NA	NA	0.2910	0.4023	0.3026
valginolyticus_e110	0.9464	1.0000	0.9400	0.9336	0.9341	0.8718	0.8846	0.8566	0.8625	0.8666	NA	NA	NA	NA	0.7308	0.7366	0.7401	0.7372	0.7424	0.3059	0.2943	0.3013	0.3159	0.3118	0.2663	0.2762	0.2622	0.2628	0.2669	0.2745	0.2716	0.2710	0.2844	0.2751	0.2990	0.2972	0.2920	0.3024	0.3036	0.3030	0.2978	0.2943	0.2990	0.3013	0.3042	0.3001	0.2978	0.2890	0.2937	0.2949	0.2960	0.2955	0.2955	0.2949	0.3071	0.2931	0.3106	0.2984	0.3024	0.3106	0.2931	0.3024	0.3094	0.3054	0.3205	0.3024	0.3013	0.3094	0.3042	0.2943	0.2949	0.3193	0.3141	0.3153	0.3054	0.3048	0.2774	NA	NA	0.3013	0.4062	0.3042
valginolyticus_v208	0.8698	0.8768	0.9984	0.8828	0.9139	0.8163	0.8223	0.8163	0.8185	0.8147	NA	NA	NA	NA	0.6877	0.7030	0.6975	0.6981	0.7008	0.3008	0.2954	0.2910	0.3101	0.3046	0.2681	0.2583	0.2501	0.2534	0.2534	0.2621	0.2589	0.2556	0.2589	0.2550	0.2839	0.2883	0.2692	0.2916	0.2856	0.2839	0.2861	0.2866	0.2883	0.2845	0.2845	0.3014	0.2877	0.2817	0.2834	0.2899	0.2916	0.2861	0.2834	0.2850	0.2948	0.2817	0.2932	0.2823	0.2861	0.2954	0.2752	0.2894	0.2937	0.2975	0.3025	0.2872	0.2916	0.2943	0.2921	0.2894	0.2834	0.3019	0.2910	0.3052	0.2932	0.2997	0.2692	NA	NA	0.2856	0.3886	0.2850
valginolyticus_zj_0	0.8835	0.8940	0.8951	0.9994	0.8940	0.8235	0.8335	0.8108	0.8163	0.8174	NA	NA	NA	NA	0.6881	0.7059	0.7120	0.6754	0.6909	0.3002	0.2930	0.2908	0.3063	0.2963	0.2580	0.2730	0.2514	0.2425	0.2497	0.2525	0.2531	0.2608	0.2564	0.2469	0.2908	0.2847	0.2875	0.2969	0.2913	0.2897	0.2891	0.2897	0.2869	0.2991	0.2925	0.2897	0.2919	0.2880	0.2947	0.2913	0.2869	0.2936	0.2902	0.3041	0.2986	0.2847	0.2958	0.2925	0.2936	0.2958	0.2902	0.2875	0.2952	0.2902	0.3052	0.2941	0.2897	0.3041	0.2858	0.2875	0.2936	0.2991	0.2986	0.3063	0.2858	0.2958	0.2647	NA	NA	0.2819	0.3824	0.2930
valginolyticus_hlbs_07	0.9073	0.9022	0.9399	0.9056	0.9994	0.8415	0.8443	0.8212	0.8359	0.8263	NA	NA	NA	NA	0.7004	0.7173	0.7178	0.7032	0.7144	0.3041	0.2923	0.3058	0.3131	0.3131	0.2771	0.2788	0.2563	0.2524	0.2603	0.2681	0.2636	0.2721	0.2709	0.2569	0.2951	0.2917	0.2917	0.2979	0.2951	0.3086	0.2974	0.2940	0.2962	0.2962	0.2901	0.2889	0.2996	0.2929	0.2962	0.2884	0.2833	0.2929	0.2979	0.3069	0.2968	0.2940	0.3052	0.2974	0.2974	0.2990	0.2979	0.2985	0.2951	0.2985	0.3097	0.3086	0.2979	0.2985	0.2957	0.2917	0.2957	0.3030	0.3069	0.3069	0.2934	0.2951	0.2782	NA	NA	0.2872	0.3929	0.2979
vdiabolicus_fa3	0.8749	0.8760	0.8813	0.8666	0.8866	0.9982	0.9371	0.9172	0.9401	0.9207	NA	NA	NA	NA	0.7838	0.7826	0.7750	0.7650	0.7902	0.3114	0.3108	0.3184	0.3243	0.3226	0.2750	0.2838	0.2732	0.2650	0.2732	0.2744	0.2820	0.2873	0.2850	0.2744	0.3120	0.3067	0.3014	0.3173	0.3067	0.3143	0.3073	0.3079	0.3073	0.3137	0.3079	0.3108	0.3102	0.3043	0.3032	0.3026	0.2961	0.3085	0.3061	0.3108	0.3237	0.3043	0.3202	0.3079	0.3102	0.3173	0.3079	0.3085	0.3196	0.3196	0.3331	0.3085	0.3108	0.3190	0.3132	0.3108	0.3096	0.3231	0.3196	0.3302	0.3137	0.3149	0.2850	NA	NA	0.3120	0.4172	0.3114
vdiabolicus_fdaargos_105	0.8313	0.8385	0.8429	0.8197	0.8302	0.8822	0.9994	0.8562	0.8816	0.8590	NA	NA	NA	NA	0.7329	0.7406	0.7340	0.7251	0.7428	0.3025	0.2915	0.2976	0.3053	0.3009	0.2611	0.2754	0.2522	0.2461	0.2622	0.2649	0.2694	0.2793	0.2699	0.2727	0.2926	0.2926	0.2843	0.2904	0.2904	0.2987	0.2887	0.2931	0.2931	0.2959	0.2948	0.2887	0.2893	0.2893	0.2898	0.2937	0.2876	0.3014	0.2965	0.2965	0.2937	0.2948	0.2992	0.2860	0.2904	0.2926	0.2976	0.2948	0.2909	0.2920	0.3059	0.2954	0.2959	0.3025	0.2948	0.2860	0.2909	0.3048	0.2920	0.3025	0.2926	0.2959	0.2843	NA	NA	0.2832	0.4121	0.2898
vdiabolicus_zf102	0.8557	0.8649	0.8591	0.8470	0.8672	0.9061	0.9020	0.9965	0.9038	0.9554	NA	NA	NA	NA	0.7612	0.7513	0.7629	0.7600	0.7681	0.3165	0.3119	0.3270	0.3281	0.3171	0.2800	0.2870	0.2609	0.2643	0.2707	0.2696	0.2858	0.2904	0.2864	0.2736	0.3125	0.3072	0.3020	0.3183	0.3096	0.3084	0.3061	0.3119	0.3090	0.3096	0.3101	0.3130	0.3125	0.3078	0.3055	0.3119	0.3090	0.3113	0.3130	0.2997	0.3206	0.3043	0.3148	0.3043	0.3084	0.3177	0.3136	0.3061	0.3096	0.3125	0.3252	0.3113	0.3096	0.3194	0.3142	0.3096	0.3136	0.3148	0.3212	0.3148	0.3154	0.3212	0.2997	NA	NA	0.3090	0.4128	0.3084
vdiabolicus_mzt14	0.8746	0.8746	0.8735	0.8670	0.8694	0.9367	0.9426	0.9121	0.9994	0.9168	NA	NA	NA	NA	0.7610	0.7698	0.7663	0.7663	0.7645	0.3105	0.2999	0.3081	0.3152	0.3076	0.2542	0.2636	0.2560	0.2595	0.2595	0.2677	0.2689	0.2789	0.2707	0.2765	0.2988	0.2953	0.2970	0.3052	0.2923	0.2941	0.2894	0.3040	0.2953	0.2970	0.3005	0.2970	0.2994	0.2929	0.2906	0.2935	0.2900	0.2953	0.3005	0.3064	0.3081	0.3035	0.3011	0.2964	0.3017	0.2964	0.3035	0.2900	0.3023	0.3017	0.3146	0.3011	0.3011	0.3087	0.2999	0.2923	0.2988	0.3128	0.3029	0.3099	0.2988	0.3029	0.2888	NA	NA	0.2923	0.4224	0.2935
vdiabolicus_3098	0.8555	0.8636	0.8578	0.8503	0.8642	0.9095	0.9008	0.9512	0.9077	0.9919	NA	NA	NA	NA	0.7539	0.7562	0.7603	0.7481	0.7684	0.3105	0.3093	0.3204	0.3128	0.3204	0.2763	0.2815	0.2600	0.2589	0.2710	0.2635	0.2722	0.2786	0.2768	0.2670	0.2989	0.3082	0.3030	0.3088	0.3070	0.3088	0.3006	0.3070	0.3070	0.3111	0.3064	0.3128	0.3117	0.3018	0.3088	0.3041	0.3035	0.3157	0.3128	0.3030	0.3134	0.3006	0.3146	0.3006	0.3018	0.3030	0.3070	0.3064	0.3047	0.3012	0.3111	0.3140	0.3105	0.3111	0.3024	0.3064	0.3030	0.3105	0.3099	0.3059	0.3035	0.3122	0.2890	NA	NA	0.2925	0.4051	0.3111
