query_id	v_alginolyticus	valginolyticus_e110	valginolyticus_v208	valginolyticus_zj_0	valginolyticus_hlbs_07	vdiabolicus_fa3	vdiabolicus_fdaargos_105	vdiabolicus_zf102	vdiabolicus_mzt14	vdiabolicus_3098	vostreicida_cect_7398	vostreicida_ucd_kl16	v_ostreicida_PP203	v_ostreicida_r172	v_parahaemolyticus	vpara_atcc_17802	vpara_vp18	vpara_lvp2	vpara_2012aw_0154	v_vulnificus	vv_7356	vv_env1	vv_2142_77	vv_24_vb00699	vcidicii_2423_01	vcidicii_vc01	vcidicii_2020rz130	vcidicii_pnusav005519	vcidicii_2538_88	vnavarrensis_atcc_51183	vnavarrensis_20_vb00237	vnavarrensis_2462_79	vnavarrensis_08_2462	vnavarrensis_pnusav006652	mullis2019_18022	mullis2019_18023	mullis2019_18024	mullis2019_18025	mullis2019_18026	mullis2019_18027	mullis2019_18028	mullis2019_18029	mullis2019_18030	mullis2019_18031	mullis2019_18032	mullis2019_18033	mullis2019_18034	mullis2019_18035	mullis2019_18036	mullis2019_18037	mullis2019_18038	mullis2019_18039	mullis2019_18040	mullis2019_18041	mullis2019_18042	mullis2019_18043	mullis2019_18044	mullis2019_18045	mullis2019_18047	mullis2019_18048	mullis2019_18049	mullis2019_18050	mullis2019_18051	mullis2019_18052	mullis2019_18053	mullis2019_18054	mullis2019_18055	mullis2019_18056	mullis2019_18057	mullis2019_18058	mullis2019_18059	mullis2019_18060	mullis2019_18061	mullis2019_18062	mullis2019_18063	mullis2019_18064	Buck_BI0607_1_WKDL250009588-1A_233TFCLT4_L7	Buck_BI0607_2_WKDL250009588-1A_233TFCLT4_L7	Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7
v_alginolyticus	100.0000	98.5372	98.4431	98.4651	98.4131	92.6842	92.7365	92.6090	92.6974	92.7743	NA	NA	NA	NA	86.1747	86.1938	86.1533	86.1130	86.2517	80.5791	80.4387	80.8147	80.6172	80.5239	79.8867	79.9534	79.3864	79.3713	79.3025	79.8501	79.7070	79.8964	79.9483	79.2604	80.1616	80.0690	80.0238	80.1206	80.1207	80.1071	80.1524	80.0423	80.0314	80.1830	80.1918	80.1489	80.0860	80.1542	80.0814	80.2174	80.1384	80.0514	80.1567	80.1739	79.9359	80.1754	80.2155	80.1624	80.0790	80.1436	80.2505	80.3185	80.1139	80.2511	79.9586	80.0709	80.1683	80.2298	80.1685	80.1993	80.2401	80.1030	80.1376	80.0858	80.1791	80.0835	79.2261	NA	NA	80.1665	89.6792	80.0595
valginolyticus_e110	98.5286	100.0000	98.4451	98.4575	98.4510	92.6650	92.7860	92.6268	92.7168	92.8094	NA	NA	NA	NA	86.2190	86.2150	86.2852	86.1853	86.2338	80.7064	80.6543	80.7464	80.6311	80.5748	80.1031	80.0544	79.5171	79.3432	79.3701	79.8789	79.7616	80.1217	80.0344	79.4423	80.2562	80.2216	80.0734	80.1632	80.2241	80.2972	80.2559	80.1123	80.1901	80.2495	80.1917	80.0987	80.1981	80.3033	80.2222	80.2654	80.1817	80.1736	80.2220	80.2848	80.1132	80.3236	80.1130	80.2139	80.2342	80.1246	80.2480	80.3855	80.1423	80.1808	80.1213	80.1643	80.2286	80.2889	80.2977	80.3192	80.2662	80.1559	80.3295	80.1337	80.3304	80.0752	79.1911	NA	NA	80.0443	89.9134	80.1231
valginolyticus_v208	98.4446	98.4097	100.0000	98.2887	98.5296	92.5752	92.6057	92.4795	92.5713	92.6597	NA	NA	NA	NA	86.3066	86.2275	86.2876	86.1616	86.3697	81.1250	80.7728	80.9128	80.4465	80.6764	79.9049	80.3301	79.8239	79.5673	79.6600	79.8992	79.8689	80.1896	80.3060	79.6031	80.2840	80.3260	80.2144	80.4742	80.2355	80.3301	80.4138	80.2439	80.3015	80.3325	80.3008	80.2361	80.2623	80.4203	80.3085	80.3513	80.3081	80.2974	80.3788	80.4176	80.0563	80.3680	80.3566	80.4206	80.3452	80.1394	80.3364	80.3886	80.2469	80.2038	80.2204	80.3209	80.2845	80.2206	80.3593	80.2622	80.4354	80.1775	80.4545	80.2082	80.3216	80.2923	79.6569	NA	NA	80.0957	89.7582	80.2532
valginolyticus_zj_0	98.4532	98.4125	98.3469	100.0000	98.3472	92.6229	92.7208	92.6179	92.6764	92.8054	NA	NA	NA	NA	86.3010	86.1790	86.4368	86.1794	86.3006	80.5105	80.3771	80.5633	80.2851	80.5785	79.9051	79.9568	79.5599	79.4394	79.4984	79.9739	79.7921	80.3551	80.1349	79.3869	80.0570	80.0337	80.1272	80.2142	80.1175	80.1168	80.0084	79.9119	80.0879	80.1673	80.0478	79.9084	80.0857	80.1232	79.9985	80.0776	80.0486	80.0155	80.0557	80.5829	79.9300	80.1177	80.0567	79.9868	80.1758	79.9447	80.0608	80.2678	79.8716	79.9956	79.9922	80.0817	80.0689	80.0140	80.1310	80.0963	80.0751	80.0569	79.9922	79.8439	80.1767	79.9770	79.1798	NA	NA	79.8545	89.7299	79.9091
valginolyticus_hlbs_07	98.4411	98.4273	98.5023	98.3148	100.0000	92.6458	92.7194	92.6534	92.6889	92.7958	NA	NA	NA	NA	86.3827	86.3755	86.3538	86.3355	86.3795	80.8701	80.4624	80.8259	80.7725	80.7968	80.1442	80.0633	79.4454	79.3886	79.4005	79.8522	79.9456	80.1987	80.0781	79.4071	80.3325	80.2207	80.1096	80.2815	80.2336	80.1430	80.4022	80.0371	80.2243	80.2454	80.2264	80.2850	80.3428	80.3256	80.3702	80.2311	80.2656	80.1869	80.4810	80.1192	80.2587	80.3471	80.4663	80.3110	80.2886	80.3146	80.2386	80.3941	80.2969	80.3197	80.1706	80.3389	80.2736	80.3201	80.3797	80.3181	80.2366	80.2549	80.2773	80.0983	80.3979	80.2141	79.2837	NA	NA	80.2688	89.6910	80.1374
vdiabolicus_fa3	92.6461	92.6858	92.5534	92.6517	92.6129	100.0000	98.0765	97.9887	98.1469	97.9104	NA	NA	NA	NA	87.0830	87.0606	87.1752	87.0238	86.9803	80.7457	80.5308	80.6597	80.7674	80.5839	80.0569	80.2098	79.6093	79.4873	79.4848	80.0809	79.8487	80.2192	80.0927	79.6306	80.2300	80.0871	80.1388	80.1402	80.2144	80.0755	80.1895	80.1708	80.1020	80.2361	80.0456	80.0625	80.3068	80.1838	80.3403	80.1659	80.1865	80.1193	80.1625	80.2004	80.0462	80.2756	80.1193	80.1458	80.0831	80.2696	80.0288	80.1638	80.1884	80.3039	80.2906	80.2621	80.1664	80.0793	80.3046	80.1749	80.0265	80.2539	80.4006	80.1503	80.2849	80.1065	79.4262	NA	NA	80.1362	94.9631	80.2365
vdiabolicus_fdaargos_105	92.6746	92.7369	92.5697	92.6731	92.7008	98.0770	100.0000	97.9781	98.0762	97.9307	NA	NA	NA	NA	86.8649	87.0538	86.8238	86.9641	86.9945	80.7315	80.5617	80.7493	80.8109	80.6817	80.0586	79.8912	79.6737	79.5731	79.4977	79.6826	79.8366	79.8191	80.1603	79.6552	80.2861	80.1257	80.0939	80.1643	80.2157	80.2765	80.1916	80.0517	80.2477	80.2447	80.2430	80.1898	80.1298	80.1280	80.3180	80.2672	80.2634	80.1419	80.1779	80.2992	80.1925	80.1532	80.1830	80.1768	80.1363	80.2190	80.2529	80.2268	80.2065	80.2765	80.3000	80.2957	80.2362	80.2233	80.3671	80.2663	80.2564	80.2150	80.2453	80.3652	80.4161	80.0678	79.4753	NA	NA	80.2236	94.7158	80.0831
vdiabolicus_zf102	92.5859	92.5664	92.6289	92.5852	92.5567	97.9744	97.9792	100.0000	98.0356	98.5746	NA	NA	NA	NA	87.1694	87.0749	86.9633	86.9357	86.9817	80.6605	80.4785	80.7003	80.6949	80.7377	80.2801	80.2155	79.6827	79.5455	79.6267	80.0506	79.7323	80.1206	80.2322	79.6943	80.1855	80.0540	80.0441	80.0806	80.1142	80.1437	80.2319	80.1461	79.9753	80.1843	79.9744	80.2329	80.1700	80.3203	80.0900	80.1481	80.2143	80.0109	80.3000	80.1622	80.2085	80.3015	80.2570	80.1481	80.1886	80.3019	80.0593	80.3782	80.2309	80.3144	80.2064	80.1839	80.2061	80.2540	80.2502	80.1720	80.1024	80.2546	80.3034	80.2056	80.2413	80.1979	79.6038	NA	NA	80.2113	94.3792	80.1322
vdiabolicus_mzt14	92.6018	92.6386	92.5298	92.5679	92.6333	98.1868	98.0599	98.0179	100.0000	97.9281	NA	NA	NA	NA	87.0539	86.9793	87.0945	87.0152	87.0630	80.5715	80.6601	80.6356	80.5592	80.6088	80.1447	80.0832	79.6520	79.4288	79.4590	79.7405	79.8983	79.9599	79.9913	79.7355	80.3964	80.2908	80.1678	80.2567	80.3362	80.3322	80.3434	80.1198	80.3694	80.2115	80.2699	80.2025	80.3409	80.2607	80.2709	80.3739	80.4364	80.3450	80.2946	80.3956	80.1112	80.3041	80.2588	80.3428	80.1953	80.2640	80.2306	80.4298	80.2820	80.3402	80.3170	80.3207	80.2623	80.2522	80.4739	80.2582	80.2484	80.3042	80.3252	80.3265	80.4772	80.1128	79.3911	NA	NA	80.1585	94.9248	80.1860
vdiabolicus_3098	92.7732	92.8001	92.7619	92.7957	92.8034	97.9111	97.9394	98.6371	97.9757	100.0000	NA	NA	NA	NA	87.0296	87.0723	86.9680	86.9842	86.9694	80.7154	80.9049	80.7481	80.8071	80.7497	80.0701	80.0035	79.4959	79.5002	79.5097	80.0278	79.8528	79.8715	80.0889	79.5389	80.3996	80.4892	80.1499	80.1663	80.2137	80.1975	80.2410	80.2887	80.4419	80.2626	80.2571	80.2646	80.2555	80.4649	80.1378	80.3323	80.2784	80.4078	80.1974	80.1915	80.3951	80.2690	80.3241	80.1939	80.2083	80.4753	80.5229	80.4850	80.1971	80.3634	80.2938	80.1349	80.1816	80.4130	80.4791	80.2125	80.3487	80.2289	80.4317	80.2526	80.4431	80.2810	79.5534	NA	NA	80.2664	94.5352	80.1608
