sample_id	query_fasta	reference_id	reference_fasta	reference_format	reference_notes	ani_pct	fragment_mappings	query_fragments	best_reference_id	best_ani_pct	species_interpretation
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x	assembly_filtered_subsampled_isolate/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x/scaffolds.fasta	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	80.19	504	1538	v_vulnificus	98.65	likely Vibrio vulnificus
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x	assembly_filtered_subsampled_isolate/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x/scaffolds.fasta	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate ANI against the whole reference FASTA.	NA	0	0	v_vulnificus	98.65	likely Vibrio vulnificus
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x	assembly_filtered_subsampled_isolate/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x/scaffolds.fasta	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate ANI against the whole reference FASTA.	NA	0	0	v_vulnificus	98.65	likely Vibrio vulnificus
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x	assembly_filtered_subsampled_isolate/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x/scaffolds.fasta	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	80.40	559	1538	v_vulnificus	98.65	likely Vibrio vulnificus
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x	assembly_filtered_subsampled_isolate/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_50x/scaffolds.fasta	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	98.65	1475	1538	v_vulnificus	98.65	likely Vibrio vulnificus
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x	assembly_filtered_subsampled_isolate/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x/scaffolds.fasta	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	80.17	520	1633	v_vulnificus	95.63	likely Vibrio vulnificus
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x	assembly_filtered_subsampled_isolate/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x/scaffolds.fasta	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate ANI against the whole reference FASTA.	NA	0	0	v_vulnificus	95.63	likely Vibrio vulnificus
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x	assembly_filtered_subsampled_isolate/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x/scaffolds.fasta	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate ANI against the whole reference FASTA.	NA	0	0	v_vulnificus	95.63	likely Vibrio vulnificus
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x	assembly_filtered_subsampled_isolate/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x/scaffolds.fasta	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	80.30	599	1633	v_vulnificus	95.63	likely Vibrio vulnificus
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x	assembly_filtered_subsampled_isolate/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_25x/scaffolds.fasta	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	95.63	1443	1633	v_vulnificus	95.63	likely Vibrio vulnificus
