contig_id	gc_fraction	gc_percent	coverage	coverage_log10	length_bp	kraken_status	taxon_label	kraken_length	taxid	broad_taxon
NODE_1_length_159504_cov_2144.796063	0.4657	46.57	4325.8273	3.63616956121356	159504	C	Bacillus paralicheniformis (taxid 1648923)	159504	1648923	Bacillus
NODE_2_length_136848_cov_2109.236139	0.4601	46.01	4371.7789	3.6407575187495	136848	C	Bacillus paralicheniformis (taxid 1648923)	136848	1648923	Bacillus
NODE_3_length_109014_cov_2178.112992	0.435	43.5	4514.4381	3.65469989311735	109014	C	Bacillus paralicheniformis (taxid 1648923)	109014	1648923	Bacillus
NODE_4_length_103307_cov_4128.073477	0.4457	44.57	7531.4459	3.87693602113984	103307	C	Bacillus paralicheniformis (taxid 1648923)	103307	1648923	Bacillus
NODE_5_length_88712_cov_2876.958019	0.4541	45.41	5950.0397	3.77459284749777	88712	C	Bacillus paralicheniformis (taxid 1648923)	88712	1648923	Bacillus
NODE_6_length_82806_cov_3307.893399	0.4722	47.22	6734.3927	3.828362921881	82806	C	Bacillus paralicheniformis (taxid 1648923)	82806	1648923	Bacillus
NODE_7_length_75770_cov_2299.976378	0.4649	46.49	4765.5044	3.67819999825922	75770	C	Bacillus paralicheniformis (taxid 1648923)	75770	1648923	Bacillus
NODE_8_length_71040_cov_2396.482843	0.4708	47.08	4964.4297	3.6959568375774	71040	C	Bacillus paralicheniformis (taxid 1648923)	71040	1648923	Bacillus
NODE_9_length_65062_cov_5548.400508	0.402	40.2	7814.3218	3.89294686502788	65062	C	Bacillus paralicheniformis (taxid 1648923)	65062	1648923	Bacillus
NODE_10_length_63356_cov_4569.626938	0.4662	46.62	7687.3205	3.88583147930151	63356	C	Bacillus paralicheniformis (taxid 1648923)	63356	1648923	Bacillus
NODE_11_length_60582_cov_5268.781340	0.4586	45.86	7779.7862	3.89102348196023	60582	C	Bacillus paralicheniformis (taxid 1648923)	60582	1648923	Bacillus
NODE_12_length_60456_cov_4265.902946	0.4683	46.83	7021.8033	3.84651050453747	60456	C	Bacillus paralicheniformis (taxid 1648923)	60456	1648923	Bacillus
NODE_13_length_57366_cov_2475.417096	0.4682	46.82	5131.7237	3.71034788635407	57366	C	Bacillus paralicheniformis (taxid 1648923)	57366	1648923	Bacillus
NODE_14_length_54980_cov_4162.446405	0.4678	46.78	7529.0166	3.87679593360846	54980	C	Bacillus paralicheniformis (taxid 1648923)	54980	1648923	Bacillus
NODE_15_length_53810_cov_3314.191409	0.4587	45.87	6768.8458	3.83057877666568	53810	C	Bacillus paralicheniformis (taxid 1648923)	53810	1648923	Bacillus
NODE_16_length_52084_cov_3570.526756	0.4717	47.17	7111.4103	3.85201680222061	52084	C	Bacillus paralicheniformis (taxid 1648923)	52084	1648923	Bacillus
NODE_17_length_51652_cov_2121.523063	0.4292	42.92	4393.2487	3.64288463291702	51652	C	Bacillus paralicheniformis (taxid 1648923)	51652	1648923	Bacillus
NODE_18_length_48466_cov_2866.333113	0.4507	45.07	5941.0092	3.77393331988537	48466	C	Bacillus paralicheniformis (taxid 1648923)	48466	1648923	Bacillus
NODE_19_length_47940_cov_3378.411403	0.4688	46.88	6872.6192	3.83718546845881	47940	C	Bacillus paralicheniformis (taxid 1648923)	47940	1648923	Bacillus
NODE_20_length_47448_cov_3187.926558	0.4873	48.73	6559.6638	3.81694778298731	47448	C	Bacillus paralicheniformis (taxid 1648923)	47448	1648923	Bacillus
NODE_21_length_46261_cov_2497.186580	0.432	43.2	5165.8897	3.71322919055812	46261	C	Bacillus paralicheniformis (taxid 1648923)	46261	1648923	Bacillus
NODE_22_length_46260_cov_3846.969534	0.4613	46.13	7380.102	3.86812120691658	46260	C	Bacillus paralicheniformis (taxid 1648923)	46260	1648923	Bacillus
NODE_23_length_45227_cov_2655.478627	0.4637	46.37	5500.3847	3.74047201529071	45227	C	Bacillus paralicheniformis (taxid 1648923)	45227	1648923	Bacillus
NODE_24_length_45126_cov_3664.378432	0.4559	45.59	7212.3242	3.85813545182225	45126	C	Bacillus paralicheniformis (taxid 1648923)	45126	1648923	Bacillus
NODE_25_length_43505_cov_3182.784954	0.4597	45.97	6534.3285	3.81526742239119	43505	C	Bacillus sp. JZ34 (taxid 2937827)	43505	2937827	Bacillus
NODE_26_length_42984_cov_2396.930501	0.4661	46.61	4968.3073	3.69629585417513	42984	C	Bacillus paralicheniformis (taxid 1648923)	42984	1648923	Bacillus
NODE_27_length_41186_cov_4788.988713	0.4462	44.62	7720.4433	3.88769848668799	41186	C	Bacillus paralicheniformis (taxid 1648923)	41186	1648923	Bacillus
NODE_28_length_39469_cov_5668.804275	0.4702	47.02	7822.3548	3.89339302655027	39469	C	Bacillus paralicheniformis ATCC 9945a (taxid 766760)	39469	766760	Bacillus
NODE_29_length_38575_cov_3103.611330	0.4571	45.71	6393.507	3.80580706712071	38575	C	Bacillus sp. JZ34 (taxid 2937827)	38575	2937827	Bacillus
NODE_30_length_38562_cov_3796.800390	0.4684	46.84	7304.7386	3.86366412905732	38562	C	Bacillus paralicheniformis (taxid 1648923)	38562	1648923	Bacillus
NODE_31_length_38022_cov_5537.711345	0.4713	47.13	7813.6264	3.8929082201931	38022	C	Bacillus paralicheniformis (taxid 1648923)	38022	1648923	Bacillus
NODE_32_length_34243_cov_4041.133173	0.4592	45.92	7489.1629	3.87449126306686	34243	C	Bacillus paralicheniformis (taxid 1648923)	34243	1648923	Bacillus
NODE_33_length_33230_cov_3557.786234	0.4707	47.07	7041.0807	3.847700997639	33230	C	Bacillus paralicheniformis (taxid 1648923)	33230	1648923	Bacillus
NODE_34_length_33180_cov_102.370963	0.6631	66.31	218.108	2.340658234669	33180	C	Reyranella sp. (taxid 1929291)	33180	1929291	Reyranella
NODE_35_length_31907_cov_2031.461451	0.4297	42.97	4201.6197	3.62352009196497	31907	C	Bacillus paralicheniformis (taxid 1648923)	31907	1648923	Bacillus
NODE_36_length_31830_cov_3512.460051	0.4842	48.42	7015.8188	3.84614026159705	31830	C	Bacillus paralicheniformis (taxid 1648923)	31830	1648923	Bacillus
NODE_37_length_31516_cov_3.772766	0.461	46.1	7.791	0.944038280054418	31516	C	Vibrio scophthalmi (taxid 45658)	31516	45658	Vibrio
NODE_38_length_30064_cov_3459.445460	0.4387	43.87	6972.9733	3.8434802803378	30064	C	Bacillus paralicheniformis (taxid 1648923)	30064	1648923	Bacillus
NODE_39_length_28975_cov_2710.982732	0.4045	40.45	5601.9177	3.74841424326029	28975	C	Bacillus paralicheniformis (taxid 1648923)	28975	1648923	Bacillus
NODE_40_length_28813_cov_96.187604	0.6575	65.75	201.5216	2.30647134982495	28813	C	Reyranella sp. (taxid 1929291)	28813	1929291	Reyranella
NODE_41_length_28712_cov_2605.792352	0.4593	45.93	5391.0405	3.73175314555628	28712	C	Bacillus paralicheniformis ATCC 9945a (taxid 766760)	28712	766760	Bacillus
NODE_42_length_28442_cov_4297.398132	0.4756	47.56	7592.6501	3.88045058185564	28442	C	Bacillus paralicheniformis (taxid 1648923)	28442	1648923	Bacillus
NODE_43_length_27390_cov_89.643796	0.6667	66.67	200.2951	2.30383320325993	27390	C	Reyranella sp. (taxid 1929291)	27390	1929291	Reyranella
NODE_44_length_27208_cov_3907.319450	0.4701	47.01	7404.6769	3.86956476042635	27208	C	Bacillus paralicheniformis (taxid 1648923)	27208	1648923	Bacillus
NODE_45_length_27103_cov_4485.308481	0.485	48.5	7664.3301	3.8845308620634	27103	C	Bacillus paralicheniformis (taxid 1648923)	27103	1648923	Bacillus
NODE_46_length_26814_cov_2487.252571	0.4906	49.06	5145.6225	3.71152231431984	26814	C	Bacillus paralicheniformis (taxid 1648923)	26814	1648923	Bacillus
NODE_47_length_26704_cov_2699.060502	0.4446	44.46	5585.4416	3.7471352630626	26704	C	Bacillus paralicheniformis (taxid 1648923)	26704	1648923	Bacillus
NODE_48_length_26696_cov_102.488598	0.6295	62.95	215.2478	2.33495169785838	26696	C	Rhizobium leguminosarum bv. viciae 248 (taxid 936136)	26696	936136	Other classified
NODE_49_length_26604_cov_77.902816	0.6732	67.32	171.8776	2.23773872475677	26604	C	Reyranella sp. (taxid 1929291)	26604	1929291	Reyranella
NODE_50_length_26192_cov_5735.193950	0.4604	46.04	7812.4787	3.89284443257783	26192	C	Bacillus paralicheniformis (taxid 1648923)	26192	1648923	Bacillus
NODE_51_length_26143_cov_5277.117202	0.4557	45.57	7780.3341	3.89105406261918	26143	C	Bacillus paralicheniformis (taxid 1648923)	26143	1648923	Bacillus
NODE_52_length_26109_cov_3564.875845	0.4629	46.29	7020.5318	3.84643186707528	26109	C	Bacillus paralicheniformis (taxid 1648923)	26109	1648923	Bacillus
NODE_53_length_26020_cov_82.006013	0.6737	67.37	187.0899	2.2743654755502	26020	C	Reyranella sp. (taxid 1929291)	26020	1929291	Reyranella
NODE_54_length_25949_cov_4366.563930	0.4363	43.63	7003.6003	3.84538335840024	25949	C	Bacillus paralicheniformis (taxid 1648923)	25949	1648923	Bacillus
NODE_55_length_25944_cov_5227.076275	0.4667	46.67	7768.6974	3.89040410502108	25944	C	Bacillus paralicheniformis (taxid 1648923)	25944	1648923	Bacillus
NODE_56_length_25640_cov_6426.287838	0.4601	46.01	7842.6038	3.89451564825181	25640	C	Bacillus paralicheniformis (taxid 1648923)	25640	1648923	Bacillus
NODE_57_length_25110_cov_2983.567291	0.4814	48.14	6168.185	3.79022779395519	25110	C	Bacillus paralicheniformis (taxid 1648923)	25110	1648923	Bacillus
NODE_58_length_24910_cov_93.868038	0.666	66.6	201.1116	2.3055912401428	24910	C	Reyranella sp. (taxid 1929291)	24910	1929291	Reyranella
