sample_id	read1	read2	assembly_dir	contigs_sequences	contigs_ge_1000bp	contigs_total_bases	contigs_n50	contigs_longest	contigs_gc_pct	scaffolds_sequences	scaffolds_ge_1000bp	scaffolds_total_bases	scaffolds_n50	scaffolds_longest	scaffolds_gc_pct
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	assembly_isolate_rerun/assemblies/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	102385	11551	66331774	1143	112838	56.52	96656	10822	66490846	1332	137691	56.39
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	assembly_isolate_rerun/assemblies/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	48270	4316	32546501	944	152727	53.84	45802	4041	32588901	1051	219636	53.77
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	assembly_isolate_rerun/assemblies/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	31241	1666	18956494	691	333286	51.25	30072	1892	18973712	749	465649	51.20
